time 	 LH 	 RH
000.037	48.8815	51.1185	
000.099	48.6621	51.3379	
000.159	50.3468	49.6532	
000.223	52.8236	47.1764	
000.287	55.1761	44.8239	
000.363	57.3898	42.6102	
000.424	59.4614	40.5386	
000.487	61.4859	38.5141	
000.547	63.4109	36.5891	
000.611	65.2399	34.7601	
000.671	66.9767	33.0233	
000.735	68.6279	31.3721	
000.799	70.1965	29.8035	
000.863	71.6866	28.3134	
000.923	73.1019	26.8981	
000.975	74.4459	25.5541	
001.048	75.7233	24.2767	
001.110	76.9355	23.0645	
001.173	78.0883	21.9117	
001.237	79.1837	20.8163	
001.300	80.2245	19.7755	
001.364	81.2127	18.7873	
001.424	82.1508	17.8492	
001.488	83.0302	16.9698	
001.548	83.8785	16.1215	
001.614	84.6841	15.3159	
001.672	85.4488	14.5512	
001.737	86.1761	13.8239	
001.800	86.8673	13.1327	
001.864	87.5239	12.4761	
001.925	88.1476	11.8524	
001.989	88.7399	11.2601	
002.050	89.3029	10.6971	
002.113	89.8378	10.1622	
002.172	90.3459	9.6541	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.012	50.0000	50.0000	
000.015	50.0000	50.0000	
000.065	54.8721	45.1279	
000.129	57.1283	42.8717	
000.189	59.2718	40.7282	
000.253	61.3081	38.6919	
000.313	63.2373	36.7627	
000.377	65.0727	34.9273	
000.441	66.8183	33.1817	
000.505	68.4764	31.5236	
000.565	70.0410	29.9590	
000.629	71.3526	28.6474	
000.689	72.7751	27.2249	
000.753	74.1092	25.8908	
000.825	75.3797	24.6203	
000.890	76.4931	23.5068	
000.955	77.6681	22.3319	
001.018	78.7821	21.2179	
001.078	79.8408	20.1592	
001.141	80.8474	19.1526	
001.203	81.8050	18.1950	
001.267	82.7148	17.2852	
001.314	83.5790	16.4210	
001.377	84.4001	15.5999	
001.441	85.1801	14.8199	
001.505	85.9211	14.0789	
001.576	86.6250	13.3750	
001.642	87.2937	12.7063	
001.702	87.9290	12.0710	
001.768	88.5325	11.4675	
001.827	89.1058	10.8942	
001.877	89.6465	10.3535	
001.954	90.1631	9.8369	
7693	 7693	 7693 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.043	50.0000	50.0000	
000.048	52.4622	47.5378	
000.113	54.8377	45.1623	
000.172	57.0958	42.9042	
000.232	59.2402	40.7598	
000.296	61.1963	38.8037	
000.356	63.1243	36.8757	
000.424	64.9670	35.0330	
000.480	66.7186	33.2814	
000.544	68.3163	31.6837	
000.608	69.5608	30.4392	
000.672	71.0112	28.9888	
000.732	72.4354	27.5646	
000.796	73.6876	26.3124	
000.856	74.8622	25.1379	
000.924	76.0813	23.9187	
000.980	77.2581	22.7419	
001.044	78.3197	21.6803	
001.108	79.3991	20.6009	
001.172	80.3987	19.6013	
001.232	81.0208	18.9792	
001.296	81.6880	18.3120	
001.356	82.5927	17.4073	
001.424	83.4603	16.5397	
001.492	84.1519	15.8481	
001.556	84.7947	15.2053	
001.620	85.5396	14.4604	
001.684	86.2589	13.7411	
001.743	86.9414	13.0586	
001.809	87.5938	12.4062	
001.868	88.2138	11.7862	
001.936	88.8030	11.1970	
001.992	89.3629	10.6371	
002.058	89.8947	10.1053	
002.121	90.4000	9.6000	
7693	 7693	 7693 
