time 	 LH 	 RH
001.893	52.8479	47.1521	
001.955	53.3904	46.6096	
002.013	54.3767	45.6233	
002.074	54.8029	45.1971	
002.138	54.6884	45.3116	
002.192	55.1270	44.8730	
002.267	56.4920	43.5080	
002.327	57.2256	42.7744	
002.394	56.3615	43.6385	
002.440	55.6280	44.3720	
002.499	55.4712	44.5288	
002.578	55.7146	44.2854	
002.628	54.4389	45.5611	
002.692	53.2645	46.7355	
002.752	52.2615	47.7385	
002.812	52.7065	47.2935	
002.895	52.6962	47.3038	
002.940	52.4930	47.5070	
003.009	52.7377	47.2623	
003.079	53.0511	46.9489	
003.141	53.4936	46.5064	
003.205	53.3354	46.6646	
003.264	53.1928	46.8072	
003.323	52.8172	47.1828	
003.393	52.4233	47.5767	
003.453	51.7028	48.2972	
003.514	51.6381	48.3619	
003.564	51.9336	48.0664	
003.627	52.1752	47.8249	
003.691	51.8331	48.1669	
003.751	51.5391	48.4609	
003.811	51.6404	48.3596	
003.892	52.0461	47.9539	
003.953	52.2678	47.7322	
004.012	52.3076	47.6924	
004.077	52.9254	47.0746	
004.142	54.4597	45.5403	
004.206	55.7451	44.2549	
004.266	55.5626	44.4374	
004.326	54.8956	45.1044	
004.393	54.0853	45.9147	
004.453	53.2374	46.7626	
004.513	53.0151	46.9849	
004.576	53.3256	46.6744	
004.641	53.6308	46.3692	
004.705	54.3190	45.6810	
004.765	54.6283	45.3717	
004.825	54.6506	45.3494	
004.893	54.1117	45.8883	
004.954	54.6874	45.3126	
005.013	55.8055	44.1945	
005.064	56.7227	43.2773	
005.127	57.0214	42.9786	
005.191	57.7766	42.2234	
005.252	58.0844	41.9156	
005.325	57.5063	42.4937	
005.393	55.9295	44.0705	
005.453	55.0171	44.9829	
005.513	54.3798	45.6202	
005.577	53.5881	46.4119	
005.640	52.1047	47.8953	
005.704	50.7671	49.2329	
005.766	49.8008	50.1992	
005.823	48.2185	51.7815	
005.893	46.3492	53.6508	
005.953	44.4823	55.5177	
006.014	43.2922	56.7078	
006.077	42.3750	57.6250	
006.142	41.0698	58.9302	
006.206	39.9089	60.0911	
006.265	39.7886	60.2114	
006.325	39.4661	60.5339	
006.393	38.2412	61.7588	
006.453	37.0843	62.9157	
006.513	36.3128	63.6872	
006.577	35.8110	64.1890	
006.641	35.2248	64.7752	
006.705	34.5014	65.4986	
006.765	34.0508	65.9492	
006.825	33.5401	66.4599	
006.894	33.3381	66.6619	
006.953	33.1284	66.8716	
007.013	33.0654	66.9346	
7692	 7692	 7692 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.681	50.0000	50.0000	
000.692	50.4428	49.5572	
000.699	51.7484	48.2516	
000.707	52.0701	47.9299	
000.715	51.6688	48.3312	
000.723	52.2631	47.7369	
000.731	53.6943	46.3057	
000.738	54.1321	45.8679	
000.747	53.6289	46.3711	
000.755	53.7339	46.2661	
000.763	54.9086	45.0914	
000.771	55.3215	44.6785	
000.780	54.6197	45.3803	
000.787	53.9508	46.0492	
000.795	53.7235	46.2765	
000.803	53.4807	46.5193	
000.811	53.1496	46.8504	
000.821	53.2617	46.7383	
000.858	53.7963	46.2037	
000.930	54.1333	45.8667	
000.990	54.6776	45.3224	
001.058	54.9820	45.0180	
001.118	55.0617	44.9383	
001.178	56.0495	43.9505	
001.242	57.4600	42.5400	
001.307	57.8023	42.1977	
001.370	57.9697	42.0303	
001.417	58.7776	41.2224	
001.477	59.6601	40.3399	
001.545	59.3723	40.6277	
001.605	58.7843	41.2157	
001.665	58.4600	41.5400	
001.729	58.6345	41.3655	
001.806	58.3300	41.6700	
001.869	57.0513	42.9487	
001.929	55.1869	44.8131	
001.990	53.5263	46.4737	
002.058	52.5404	47.4596	
002.118	50.9299	49.0701	
002.180	49.0375	50.9624	
002.242	47.5470	52.4530	
002.306	46.6832	53.3168	
002.370	45.7683	54.2317	
002.430	44.6295	55.3705	
002.490	44.1564	55.8436	
002.558	44.4883	55.5117	
002.618	44.4828	55.5172	
002.678	43.8759	56.1241	
002.742	43.8450	56.1550	
002.806	44.4663	55.5337	
002.871	44.9561	55.0439	
002.930	45.0756	54.9244	
002.990	45.1633	54.8367	
003.058	45.7686	54.2314	
003.118	46.1889	53.8111	
003.178	45.9651	54.0349	
003.242	45.9920	54.0080	
003.306	45.9928	54.0072	
003.370	46.6633	53.3367	
003.417	47.4376	52.5624	
003.476	48.4563	51.5437	
003.545	48.7549	51.2451	
003.604	48.1483	51.8517	
003.664	48.7332	51.2668	
003.728	50.4975	49.5025	
003.792	51.4922	48.5078	
003.870	51.1331	48.8669	
003.930	51.4050	48.5950	
003.990	53.1555	46.8445	
004.058	53.9389	46.0611	
004.118	53.1221	46.8779	
004.165	53.0011	46.9989	
004.229	54.6342	45.3658	
004.293	55.6597	44.3403	
004.357	55.1756	44.8244	
004.417	54.6399	45.3601	
004.477	55.5471	44.4529	
004.545	56.2481	43.7519	
004.604	55.9744	44.0256	
004.664	56.1753	43.8247	
004.728	56.7297	43.2703	
004.793	57.3004	42.6996	
004.870	56.4033	43.5967	
004.930	55.2343	44.7657	
004.991	54.4998	45.5002	
005.058	53.6041	46.3959	
005.118	51.6559	48.3441	
005.178	49.7291	50.2709	
005.242	47.7491	52.2509	
005.305	45.7300	54.2700	
005.369	43.5899	56.4101	
005.432	41.5858	58.4142	
005.488	39.7538	60.2462	
005.544	38.0360	61.9640	
005.604	36.3832	63.6168	
005.665	34.9498	65.0502	
005.728	33.5810	66.4190	
005.792	32.1157	67.8843	
005.856	31.0902	68.9098	
005.916	31.5789	68.4211	
005.976	30.8416	69.1584	
006.044	29.7697	70.2303	
7703	 7703	 7703 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.053	50.0000	50.0000	
000.059	50.4224	49.5775	
000.120	49.6467	50.3533	
000.180	49.6367	50.3633	
000.240	49.5405	50.4595	
000.304	48.6076	51.3924	
000.381	47.1869	52.8131	
000.448	46.1230	53.8770	
000.507	45.8754	54.1246	
000.572	45.4499	54.5501	
000.634	44.8447	55.1553	
000.694	44.2026	55.7974	
000.754	43.9832	56.0168	
000.819	43.0620	56.9380	
000.881	41.7905	58.2095	
000.945	41.3488	58.6512	
001.006	41.4088	58.5912	
001.070	41.3947	58.6053	
001.134	40.4487	59.5513	
001.193	40.1259	59.8741	
001.254	40.4605	59.5395	
001.317	40.2574	59.7426	
001.382	39.2580	60.7420	
001.445	39.3887	60.6113	
001.506	40.2815	59.7185	
001.569	40.2570	59.7430	
001.634	39.3960	60.6040	
001.694	39.7386	60.2614	
001.751	40.7585	59.2415	
001.804	40.8293	59.1707	
001.868	39.8069	60.1931	
001.932	39.7817	60.2183	
001.992	39.9474	60.0526	
002.056	40.0981	59.9019	
002.120	40.0991	59.9009	
002.180	39.8993	60.1007	
002.240	40.2951	59.7049	
002.317	40.9610	59.0390	
002.381	40.8548	59.1452	
002.445	40.4470	59.5530	
002.505	40.6405	59.3595	
002.569	40.9776	59.0224	
002.633	41.2015	58.7985	
002.694	42.0344	57.9656	
002.753	43.6490	56.3510	
002.817	44.5511	55.4489	
003.564	45.0446	54.9554	
003.570	45.8441	54.1559	
003.579	47.6083	52.3917	
003.587	48.2954	51.7045	
003.594	47.8722	52.1278	
003.603	47.6807	52.3193	
003.610	48.7212	51.2788	
003.619	49.3702	50.6298	
003.626	48.9767	51.0233	
003.635	48.2377	51.7623	
003.642	47.4623	52.5377	
003.651	47.1115	52.8885	
003.659	45.7899	54.2101	
003.681	45.0710	54.9290	
